0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7
0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7
100000,100000,100001,100001,100002,100002,100003,100003,100004,100004,100005,100005,100006,100006,100007,100007
100000,100000,100001,100001,100002,100002,100003,100003,100004,100004,100005,100005,100006,100006,100007,100007
200000,200000,200001,200001,200002,200002,200003,200003,200004,200004,200005,200005,200006,200006,200007,200007
200000,200000,200001,200001,200002,200002,200003,200003,200004,200004,200005,200005,200006,200006,200007,200007
300000,300000,300001,300001,300002,300002,300003,300003,300004,300004,300005,300005,300006,300006,300007,300007
300000,300000,300001,300001,300002,300002,300003,300003,300004,300004,300005,300005,300006,300006,300007,300007
400000,400000,400001,400001,400002,400002,400003,400003,400004,400004,400005,400005,400006,400006,400007,400007
400000,400000,400001,400001,400002,400002,400003,400003,400004,400004,400005,400005,400006,400006,400007,400007
500000,500000,500001,500001,500002,500002,500003,500003,500004,500004,500005,500005,500006,500006,500007,500007
500000,500000,500001,500001,500002,500002,500003,500003,500004,500004,500005,500005,500006,500006,500007,500007
600000,600000,600001,600001,600002,600002,600003,600003,600004,600004,600005,600005,600006,600006,600007,600007
600000,600000,600001,600001,600002,600002,600003,600003,600004,600004,600005,600005,600006,600006,600007,600007
700000,700000,700001,700001,700002,700002,700003,700003,700004,700004,700005,700005,700006,700006,700007,700007
700000,700000,700001,700001,700002,700002,700003,700003,700004,700004,700005,700005,700006,700006,700007,700007
