0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63
0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63
100000,100000,100001,100001,100002,100002,100003,100003,100004,100004,100005,100005,100006,100006,100007,100007,100008,100008,100009,100009,100010,100010,100011,100011,100012,100012,100013,100013,100014,100014,100015,100015,100016,100016,100017,100017,100018,100018,100019,100019,100020,100020,100021,100021,100022,100022,100023,100023,100024,100024,100025,100025,100026,100026,100027,100027,100028,100028,100029,100029,100030,100030,100031,100031,100032,100032,100033,100033,100034,100034,100035,100035,100036,100036,100037,100037,100038,100038,100039,100039,100040,100040,100041,100041,100042,100042,100043,100043,100044,100044,100045,100045,100046,100046,100047,100047,100048,100048,100049,100049,100050,100050,100051,100051,100052,100052,100053,100053,100054,100054,100055,100055,100056,100056,100057,100057,100058,100058,100059,100059,100060,100060,100061,100061,100062,100062,100063,100063
100000,100000,100001,100001,100002,100002,100003,100003,100004,100004,100005,100005,100006,100006,100007,100007,100008,100008,100009,100009,100010,100010,100011,100011,100012,100012,100013,100013,100014,100014,100015,100015,100016,100016,100017,100017,100018,100018,100019,100019,100020,100020,100021,100021,100022,100022,100023,100023,100024,100024,100025,100025,100026,100026,100027,100027,100028,100028,100029,100029,100030,100030,100031,100031,100032,100032,100033,100033,100034,100034,100035,100035,100036,100036,100037,100037,100038,100038,100039,100039,100040,100040,100041,100041,100042,100042,100043,100043,100044,100044,100045,100045,100046,100046,100047,100047,100048,100048,100049,100049,100050,100050,100051,100051,100052,100052,100053,100053,100054,100054,100055,100055,100056,100056,100057,100057,100058,100058,100059,100059,100060,100060,100061,100061,100062,100062,100063,100063
200000,200000,200001,200001,200002,200002,200003,200003,200004,200004,200005,200005,200006,200006,200007,200007,200008,200008,200009,200009,200010,200010,200011,200011,200012,200012,200013,200013,200014,200014,200015,200015,200016,200016,200017,200017,200018,200018,200019,200019,200020,200020,200021,200021,200022,200022,200023,200023,200024,200024,200025,200025,200026,200026,200027,200027,200028,200028,200029,200029,200030,200030,200031,200031,200032,200032,200033,200033,200034,200034,200035,200035,200036,200036,200037,200037,200038,200038,200039,200039,200040,200040,200041,200041,200042,200042,200043,200043,200044,200044,200045,200045,200046,200046,200047,200047,200048,200048,200049,200049,200050,200050,200051,200051,200052,200052,200053,200053,200054,200054,200055,200055,200056,200056,200057,200057,200058,200058,200059,200059,200060,200060,200061,200061,200062,200062,200063,200063
200000,200000,200001,200001,200002,200002,200003,200003,200004,200004,200005,200005,200006,200006,200007,200007,200008,200008,200009,200009,200010,200010,200011,200011,200012,200012,200013,200013,200014,200014,200015,200015,200016,200016,200017,200017,200018,200018,200019,200019,200020,200020,200021,200021,200022,200022,200023,200023,200024,200024,200025,200025,200026,200026,200027,200027,200028,200028,200029,200029,200030,200030,200031,200031,200032,200032,200033,200033,200034,200034,200035,200035,200036,200036,200037,200037,200038,200038,200039,200039,200040,200040,200041,200041,200042,200042,200043,200043,200044,200044,200045,200045,200046,200046,200047,200047,200048,200048,200049,200049,200050,200050,200051,200051,200052,200052,200053,200053,200054,200054,200055,200055,200056,200056,200057,200057,200058,200058,200059,200059,200060,200060,200061,200061,200062,200062,200063,200063
300000,300000,300001,300001,300002,300002,300003,300003,300004,300004,300005,300005,300006,300006,300007,300007,300008,300008,300009,300009,300010,300010,300011,300011,300012,300012,300013,300013,300014,300014,300015,300015,300016,300016,300017,300017,300018,300018,300019,300019,300020,300020,300021,300021,300022,300022,300023,300023,300024,300024,300025,300025,300026,300026,300027,300027,300028,300028,300029,300029,300030,300030,300031,300031,300032,300032,300033,300033,300034,300034,300035,300035,300036,300036,300037,300037,300038,300038,300039,300039,300040,300040,300041,300041,300042,300042,300043,300043,300044,300044,300045,300045,300046,300046,300047,300047,300048,300048,300049,300049,300050,300050,300051,300051,300052,300052,300053,300053,300054,300054,300055,300055,300056,300056,300057,300057,300058,300058,300059,300059,300060,300060,300061,300061,300062,300062,300063,300063
300000,300000,300001,300001,300002,300002,300003,300003,300004,300004,300005,300005,300006,300006,300007,300007,300008,300008,300009,300009,300010,300010,300011,300011,300012,300012,300013,300013,300014,300014,300015,300015,300016,300016,300017,300017,300018,300018,300019,300019,300020,300020,300021,300021,300022,300022,300023,300023,300024,300024,300025,300025,300026,300026,300027,300027,300028,300028,300029,300029,300030,300030,300031,300031,300032,300032,300033,300033,300034,300034,300035,300035,300036,300036,300037,300037,300038,300038,300039,300039,300040,300040,300041,300041,300042,300042,300043,300043,300044,300044,300045,300045,300046,300046,300047,300047,300048,300048,300049,300049,300050,300050,300051,300051,300052,300052,300053,300053,300054,300054,300055,300055,300056,300056,300057,300057,300058,300058,300059,300059,300060,300060,300061,300061,300062,300062,300063,300063
400000,400000,400001,400001,400002,400002,400003,400003,400004,400004,400005,400005,400006,400006,400007,400007,400008,400008,400009,400009,400010,400010,400011,400011,400012,400012,400013,400013,400014,400014,400015,400015,400016,400016,400017,400017,400018,400018,400019,400019,400020,400020,400021,400021,400022,400022,400023,400023,400024,400024,400025,400025,400026,400026,400027,400027,400028,400028,400029,400029,400030,400030,400031,400031,400032,400032,400033,400033,400034,400034,400035,400035,400036,400036,400037,400037,400038,400038,400039,400039,400040,400040,400041,400041,400042,400042,400043,400043,400044,400044,400045,400045,400046,400046,400047,400047,400048,400048,400049,400049,400050,400050,400051,400051,400052,400052,400053,400053,400054,400054,400055,400055,400056,400056,400057,400057,400058,400058,400059,400059,400060,400060,400061,400061,400062,400062,400063,400063
400000,400000,400001,400001,400002,400002,400003,400003,400004,400004,400005,400005,400006,400006,400007,400007,400008,400008,400009,400009,400010,400010,400011,400011,400012,400012,400013,400013,400014,400014,400015,400015,400016,400016,400017,400017,400018,400018,400019,400019,400020,400020,400021,400021,400022,400022,400023,400023,400024,400024,400025,400025,400026,400026,400027,400027,400028,400028,400029,400029,400030,400030,400031,400031,400032,400032,400033,400033,400034,400034,400035,400035,400036,400036,400037,400037,400038,400038,400039,400039,400040,400040,400041,400041,400042,400042,400043,400043,400044,400044,400045,400045,400046,400046,400047,400047,400048,400048,400049,400049,400050,400050,400051,400051,400052,400052,400053,400053,400054,400054,400055,400055,400056,400056,400057,400057,400058,400058,400059,400059,400060,400060,400061,400061,400062,400062,400063,400063
500000,500000,500001,500001,500002,500002,500003,500003,500004,500004,500005,500005,500006,500006,500007,500007,500008,500008,500009,500009,500010,500010,500011,500011,500012,500012,500013,500013,500014,500014,500015,500015,500016,500016,500017,500017,500018,500018,500019,500019,500020,500020,500021,500021,500022,500022,500023,500023,500024,500024,500025,500025,500026,500026,500027,500027,500028,500028,500029,500029,500030,500030,500031,500031,500032,500032,500033,500033,500034,500034,500035,500035,500036,500036,500037,500037,500038,500038,500039,500039,500040,500040,500041,500041,500042,500042,500043,500043,500044,500044,500045,500045,500046,500046,500047,500047,500048,500048,500049,500049,500050,500050,500051,500051,500052,500052,500053,500053,500054,500054,500055,500055,500056,500056,500057,500057,500058,500058,500059,500059,500060,500060,500061,500061,500062,500062,500063,500063
500000,500000,500001,500001,500002,500002,500003,500003,500004,500004,500005,500005,500006,500006,500007,500007,500008,500008,500009,500009,500010,500010,500011,500011,500012,500012,500013,500013,500014,500014,500015,500015,500016,500016,500017,500017,500018,500018,500019,500019,500020,500020,500021,500021,500022,500022,500023,500023,500024,500024,500025,500025,500026,500026,500027,500027,500028,500028,500029,500029,500030,500030,500031,500031,500032,500032,500033,500033,500034,500034,500035,500035,500036,500036,500037,500037,500038,500038,500039,500039,500040,500040,500041,500041,500042,500042,500043,500043,500044,500044,500045,500045,500046,500046,500047,500047,500048,500048,500049,500049,500050,500050,500051,500051,500052,500052,500053,500053,500054,500054,500055,500055,500056,500056,500057,500057,500058,500058,500059,500059,500060,500060,500061,500061,500062,500062,500063,500063
600000,600000,600001,600001,600002,600002,600003,600003,600004,600004,600005,600005,600006,600006,600007,600007,600008,600008,600009,600009,600010,600010,600011,600011,600012,600012,600013,600013,600014,600014,600015,600015,600016,600016,600017,600017,600018,600018,600019,600019,600020,600020,600021,600021,600022,600022,600023,600023,600024,600024,600025,600025,600026,600026,600027,600027,600028,600028,600029,600029,600030,600030,600031,600031,600032,600032,600033,600033,600034,600034,600035,600035,600036,600036,600037,600037,600038,600038,600039,600039,600040,600040,600041,600041,600042,600042,600043,600043,600044,600044,600045,600045,600046,600046,600047,600047,600048,600048,600049,600049,600050,600050,600051,600051,600052,600052,600053,600053,600054,600054,600055,600055,600056,600056,600057,600057,600058,600058,600059,600059,600060,600060,600061,600061,600062,600062,600063,600063
